review_id	review_url	review_domain	claim_ids	is_fake
review_05537	https://piaui.folha.uol.com.br/lupa/2020/03/17/verificamos-barroso-bolsonaro/	uol.com.br	[1239927119569997829]	1
review_08704	https://poligrafo.sapo.pt/fact-check/ps-esta-a-fazer-propaganda-partidaria-utilizando-medidas-do-governo-relativas-a-covid-19	sapo.pt	[1251138535748276226]	1
review_07685	https://poligrafo.sapo.pt/fact-check/marques-diz-que-rangel-nao-fez-trabalho-no-parlamento-europeu-e-esta-na-597a-posicao-da-tabela-de-produtividade-e-verdade	sapo.pt	[1112046333047779330]	1
review_11499	https://www.aosfatos.org/noticias/no-roda-viva-gilmar-mendes-se-contradiz-sobre-defesa-da-liberdade-de-imprensa/	aosfatos.org	[1182353408839299072]	1
review_16766	https://observador.pt/factchecks/houve-sete-alteracoes-a-lei-laboral-no-mandato-deste-governo/	observador.pt	[1050039844875964416]	1
review_03475	https://www.boatos.org/politica/jose-sarney-discurso-onu-falando-ingles.html	boatos.org	[1176673292297691137]	1
review_02236	https://piaui.folha.uol.com.br/lupa/2018/11/10/verificamosenem-conceicao-evaristo/	uol.com.br	[1059184858562510848]	1
review_10576	https://noticias.uol.com.br/confere/ultimas-noticias/2018/08/24/jean-wyllys-nao-fara-filme-com-jesus-cristo-gay-nem-foi-atacado-por-ratinho.htm	uol.com.br	[1008741858439286784]	1
review_00717	https://poligrafo.sapo.pt/fact-check/andre-ventura-catarina-martins-nao-aparece-no-plenario-e-verdade	sapo.pt	[1270446982205751297]	1
review_14627	https://www.aosfatos.org/noticias/e-falso-que-jair-bolsonaro-fara-palestra-de-abertura-da-flip-2020/	aosfatos.org	[1199427384220487685]	1
review_08587	https://www.aosfatos.org/noticias/sites-desinformam-ao-atribuir-reporter-do-estadao-falsa-declaracao/	aosfatos.org	[1105188422812078080]	1
review_14993	https://www.aosfatos.org/noticias/decisao-da-fda-nao-amplia-uso-de-cloroquina-para-tratamento-da-covid-19-nos-eua/	aosfatos.org	[1272985282904801286]	1
review_09218	https://piaui.folha.uol.com.br/lupa/2018/06/12/verificamos-papa-terco/	uol.com.br	[1006545399006552064]	1
review_04244	https://piaui.folha.uol.com.br/lupa/2018/08/23/lula-onu-comite/	uol.com.br	[1030483569720918017]	1
review_18038	https://observador.pt/factchecks/fact-check-rui-tavares-fundador-do-livre-e-professor-na-telescola/	observador.pt	[1254889081286295556]	1
review_01920	https://www.aosfatos.org/noticias/e-falso-que-policiais-prestaram-continencia-manifestantes-contra-isolamento-em-sp/	aosfatos.org	[1264708382843457536]	1
review_06141	https://www.boatos.org/brasil/cedae-manutencao-rede-15-01-e-ficara-parada-12-horas.html	boatos.org	[1217164376765083651]	1
review_11858	https://www.boatos.org/brasil/secretario-general-figueiredo-anula-pedido-afastamento-gabriel-monteiro-2020.html	boatos.org	[1167198345892376576]	1
review_00228	https://www.boatos.org/esporte/sadio-mane-ferraris-avioes-70-euros-senegal.html	boatos.org	[1184871410591776768]	1
review_09268	https://poligrafo.sapo.pt/fact-check/juiz-neto-de-moura-esta-isento-de-custas-judiciais-nos-processos-que-mover-contra-os-que-o-ofenderam	sapo.pt	[1102355652213686272]	1
review_13913	https://www.aosfatos.org/noticias/site-engana-ao-dizer-que-nao-ha-restricoes-jornalistas-na-posse-de-bolsonaro/	aosfatos.org	[1080118699577798656]	1
review_03152	https://checamos.afp.com/bandeira-brasileira-foi-projetada-em-uma-montanha-suica-em-apoio-no-combate-covid-19	afp.com	[1253017839033823232]	1
review_06974	https://piaui.folha.uol.com.br/lupa/2018/09/20/verificamos-patricia-pillar-ciro-gomes/	uol.com.br	[1042589442568015872]	1
review_13151	https://piaui.folha.uol.com.br/lupa/2018/10/27/bolsonaro-video-editado-joaquim/	uol.com.br	[1056197812961112066]	1
review_18239	https://www.aosfatos.org/noticias/video-do-Greenpeace-editado-para-sustentar-que-ONG-negou-ajuda-ao-nordeste/	aosfatos.org	[1186293048629743629]	1
review_09257	https://www.boatos.org/ciencia/vespa-assassina-chegou-eua-criada-laboratorio-china.html	boatos.org	[1259173923733692424]	1
review_18687	https://checamos.afp.com/falas-atribuidas-aos-jornalistas-nao-foram-feitas-mas-o-comentario-do-portal-g1-foi-publicado-no	afp.com	[1170457640004177921]	1
review_00717	https://poligrafo.sapo.pt/fact-check/andre-ventura-catarina-martins-nao-aparece-no-plenario-e-verdade	sapo.pt	[1273978560072515585]	1
review_19391	https://www.aosfatos.org/noticias/video-de-kalil-almocando-em-restaurante-e-anterior-pandemia-de-covid-19/	aosfatos.org	[1018297937720414208]	1
review_14611	https://piaui.folha.uol.com.br/lupa/2020/05/25/verificamos-pms-video-continencia-manifestantes-isolamento-social/	uol.com.br	[1264717193482252288]	1
review_13459	https://piaui.folha.uol.com.br/lupa/2019/12/16/verificamos-mourao-texto-insetos-brasil/	uol.com.br	[1198949953768439809]	1
review_04733	https://www.aosfatos.org/noticias/e-falso-que-PSL-publicou-tweet-defendendo-fim-do-13-salario-e-das-ferias/	aosfatos.org	[1055472738792624129]	1
review_18971	https://politica.estadao.com.br/blogs/estadao-verifica/verificamos-ao-espalhar-teoria-conspiratoria-sobre-dominio-comunista-weintraub-nao-plagiou-hitler-textualmente/	estadao.com.br	[1115364804926017542]	1
review_08553	https://poligrafo.sapo.pt/fact-check/deputado-ativista-da-comunidade-gay-vai-fugir-do-brasil-por-ter-sido-autor-moral-do-atentado-contra-bolsonaro	sapo.pt	[1088491273227522049]	1
review_19100	https://observador.pt/factchecks/as-propinas-sao-mesmo-um-factor-de-desigualdade-social/	observador.pt	[1082405717573844992]	1
review_00722	https://piaui.folha.uol.com.br/lupa/2020/04/13/verificamos-modesto-carvalhosa-intervencao/	uol.com.br	[1247515129840795650]	1
review_03257	https://www.boatos.org/brasil/bandidos-roupas-profissionais-saude-van-bombeiros-assaltos.html	boatos.org	[1243754687112806401]	1
review_17371	https://piaui.folha.uol.com.br/lupa/2018/10/07/verificamos-video-urna-autocompleta/	uol.com.br	[1048975386963587074]	1
review_07947	https://piaui.folha.uol.com.br/lupa/2020/03/11/damares-poder-em-foco/	uol.com.br	[1237057096295813121]	1
review_05732	https://observador.pt/factchecks/fact-check-jesus-perdeu-amigo-e-isso-prova-que-dgs-esta-a-esconder-mortes/	observador.pt	[1238972235718819840]	1
review_17756	https://poligrafo.sapo.pt/fact-check/emmanuel-macron-referiu-se-a-amazonia-como-a-nossa-casa	sapo.pt	[1164667765799694345]	1
review_09806	https://www.aosfatos.org/noticias/e-falso-que-senadora-do-pt-defendeu-aborto-para-evitar-que-bebes-nascam-com-sinusite-e-rinite/	aosfatos.org	[996811501045518337]	1
review_05408	https://aosfatos.org/noticias/o-que-os-politicos-disseram-sobre-reforma-da-previdencia-e-o-que-nao-e-verdade/	aosfatos.org	[1098590845392031747]	1
review_08364	https://piaui.folha.uol.com.br/lupa/2019/04/08/verificamos-ministro-educacao-doutor/	uol.com.br	[1115282445019095040]	1
review_00067	https://www.aosfatos.org/noticias/e-falso-que-prefeitura-de-pelotas-usou-sirenes-para-marcar-inicio-do-lockdown-na-cidade/	aosfatos.org	[1292948475274055682]	1
review_10280	https://piaui.folha.uol.com.br/lupa/2019/12/18/verificamos-esquerda-karol-eller/	uol.com.br	[1207053624372801537]	1
review_16453	https://piaui.folha.uol.com.br/lupa/2019/05/30/verificamos-bala-de-prata-lula/	uol.com.br	[710992996922220544]	1
review_10276	https://checamos.afp.com/dirigir-sem-mascara-de-protecao-contra-covid-19-nao-figura-como-infracao-de-transito	afp.com	[1256039192985063427]	1
review_11227	https://poligrafo.sapo.pt/fact-check/ferro-rodrigues-disse-que-nao-pode-haver-mascarados-no-25-de-abril-porque-tambem-nao-houve-nas-restantes-sessoes	sapo.pt	[1252894109745975296]	1
