review_id	review_text	review_author	review_url	review_domain	review_date	category	is_fake
review_18563	"Papa Francisco foi preso sob acusação de tráfico de crianças e fraudes #boato 

Boato – Ocorreu um apagão no Vaticano. O papa Francisco foi preso após 80 acusações de tráfico de crianças e diversas fraudes. Por isso que o pontífice está ausente. 
apagão vaticano papar presar acusação tráfico criança e fraude .. o papar francisco tuitou manhã o curador beaver confirmar o papar francisco equipar rede social agendar publicação e planejada antecedência clicar tweet o tweetdeck agendar o publicação.o papar francisco custódio federal itália vestir vídeo o fbi o interrogatório fontes.oficiais militar policiar italiano e unidade crime sexual o casar papar vaticano prender e policiar alto e colocar prisão incidente pessoa relatar ouvir tiro o polícia confirmar atirar armas.o papar francisco encontra-se atualmente prisão desconhecido interrogar agente federar trabalhar o itália e interpol acordar relatório o fbi arranjar voar e interrogá-lo o interpol terminar ele.giuseppe governale o procurador-chefe antimafia itália chamar comedir pesquisar o papar francisco e vaticano o ′′ subestimar ′′ e particularmente perigoso dever capacidade proliferar nação e infiltrar n realizar o prisão policiar e militar cortar o energia vaticano atenuar o câmera o o viver notar web-sleuths rapidamente começar o suspeitar acontecer vaticano"	Edgard Matsuki	https://www.boatos.org/religiao/papa-francisco-foi-preso-acusacao-trafico-criancas-fraudes.html	boatos.org	11/01/2021	entretenimento	1
review_14350	"Equador prepara cova coletiva para mortos por covid-19 em Guaiaquil  

o governar equador anunciar preparar cova coletiva cemitério enterrar morto coronavírus cidade guaiaquil país divulgar o sepultura ficar pronto o redar ecuavisa sepulcro construir homenagem s vítima o governar federal negociar o prefeitura quaiaquil o cova o manhã hoje o cidade registrar caso confirmar covid-19 o município atingir vírus o país ministrar interior maría paula romo declarar entrevisto redar agência funerário trabalhar disponível função tocar recolher impor presidente lenín moreno"		https://noticias.uol.com.br/internacional/ultimas-noticias/2020/03/27/equador-prepara-cova-coletiva-para-mortos-por-covid-19-em-guaiaquil.htm	uol.com.br	27/03/2020	saúde	-1
review_19010	"Air France voltará a operar voo direto Pequim-Paris  

o companhia air france operar voar direto pequim e parir agostar o o capital chinês e o europa o fechamento conexão aéreo pandemia coronavírus diferente fonte n sexta-feira dever s norma sanitário chinês o voar destinar o tianjin o cercar quilômetros pequim voltar o voar aeroporto pequim capital o air france confirmar informação embaixada frança chino o voar semanal empresar o frança e o chino atualmente o companhia aéreo operar conexão semanal o aeroporto parir charlar gaulle e xangai o frança o país união europeu o voar direto pequim o embaixada mensagem o residente francês"		https://www.uol.com.br/nossa/noticias/afp/2020/08/07/air-france-voltara-a-operar-voo-direto-pequim-paris.htm	uol.com.br	07/08/2020	saúde	-1
review_09640	"Marfrig intensifica venda de carne do Brasil aos EUA após fechamentos por covid-19  

o marfrig global foods retomar vender carnar bovino in natura brasil o unir o reabertura mercar norte-americano o o produto brasileiro intensificação demandar o fechamento frigorífico n país causar coronavírus o diretor-presidente companhia reuters miguel gularte o mercar norte-americano reaberto aquisição proteína in natura brasileiro fevereiro d ano interrupção exportação ocorrido sanitário e embarque longo período ocorrer n afirmar gularte o executivo aumentar comprar eua identificar primeiramente unidade marfrig argentino e uruguai dia notar brasil o executivo detalhar volume"		https://economia.uol.com.br/noticias/reuters/2020/04/27/entrevista-marfrig-intensifica-venda-de-carne-do-brasil-aos-eua-apos-fechamentos-por-covid-19.htm	uol.com.br	27/04/2020	saúde	-1
review_03097	"As parciais das eleições de 2014 alternaram mais de 200 vezes a vitória entre Aécio e Dilma?

o assunto voltar o compartilhar rede social julho entrevisto concedido presidente jair bolsonaro rádio jovem pan news itapetininga dia julho e live apresentar mandatário dia ocasião bolsonaro alegar haver indício fraudar eleição presidencial"	Gilmar Lopes	https://www.e-farsas.com/as-parciais-das-eleicoes-de-2014-alternaram-mais-de-200-vezes-a-vitoria-entre-aecio-e-dilma.html	r7.com	31/07/2021	entretenimento	1
review_18158	"Macron mandou polícia fechar igreja de Santa Rita, em Paris, e bater no padre #boato 

Boato – O presidente da França, Emmanuel Macron, mandou a polícia invadir a igreja de Santa Rita, em Paris, prender o padre e destruir o estabelecimento para construir um estacionamento.
durante o santo missar policiar obedecer o ordem presidente francês macron invadir o igreja santo rir parir espancar o sacerdote e fiel sair o igreja demolir construção estacionamento “ durante o santo missar policiar obedecer o ordem presidente francês macron invadir o igreja santo rir parir espancar o sacerdote e fiel sair o igreja demolir construção estacionamento ” igreja perseguir n consagrar o corpo e o sangue jesus tornando-o presença vivo e real o demônio odiar jesus cristo"	Edgard Matsuki	https://www.boatos.org/mundo/macron-mandou-policia-invadir-igreja-santa-rita-paris-bater-padre.html	boatos.org		mundo	1
review_03920	"Coronavírus: sindicatos dos inquilinos convocam greve de aluguel na Espanha  

greve pagamento aluguel organizar sindicato inquilino catalunha e madri dia 1º abril o movimentar focar ajudar família pequeno comerciante e trabalhador autônomos afetados pandemia coronavírus informação agência notícia efe o greve marcar pressionar o governar assegurar o pagamento aluguel resultar ações punitivo estima-se cercar pessoa diariamente relatar conseguir pagar aluguel abril acordar entidade pequeno proprietário depender render inquilino afetados e o ajudá-los render básico"		https://noticias.uol.com.br/internacional/ultimas-noticias/2020/03/30/coronavirus-sindicatos-dos-inquilinos-convocam-greve-na-espanha.htm	uol.com.br	30/03/2020	saúde	-1
review_01817	"Programa Renda Brasil +Crédito, com crédito de R$ 50 mil, é lançado em site no WhatsApp #boato 

Boato – O governo federal lançou o programa Renda Brasil +Crédito, que dá crédito de até R$ 50 mil. Para se cadastrar, é preciso entrar em um site e compartilhar um link no WhatsApp.
o cadastramento programar render brasil crédito crédito r$ 50mil autônomos meis e micro empresário desejar ampliar montar negócio consultar direito site]cadastros liberar responder perguntar abaixar negócio autonômo confirmar desejar receber o auxílio emergencial o o crédito aplicativo oficial caixa.gov.brsim direito aprovar r$ 48.100,00 autenticar solicitação e confirmar robô clicar botão compartilhar abaixar e compartilhar e amigo compartilhar receber o datar e o protocolo solicitar o benefício banco contar desejar abrir compartilhar status procedimento obrigatorio"	Edgard Matsuki	https://www.boatos.org/tecnologia/programa-renda-brasil-credito-credito-r-50-mil-lancado-site-whatsapp.html	boatos.org	02/10/2020	entretenimento	1
review_00454	"Os cheiros que podem desaparecer para sempre
Aromas da vida cotidiana, como o cheiro do café torrado e de livros antigos, fazem parte da nossa cultura – mas muitos deles não são preservados.
imaginar livrar passar ano guardar estante folhear página amarelar o poeira espalhar ar e começar o lê-lo cheirar inconfundível invadir narina aromar familiar mero prazer amante sebo e biblioteca cheirar cultural – e correr o riscar extinção o livrar antigo desfazer jogar colocar sala temperatura controlar tornar difícil sentir aromar problema exclusivo livro – perfumaria bar cidade inteiro panar fundir profusão aromar constante mutação"	BBC	https://g1.globo.com/ciencia-e-saude/noticia/2020/07/16/os-cheiros-que-podem-desaparecer-para-sempre.ghtml	globo.com	16/07/2020	ciência	-1
review_09470	"Vacina contra Covid-19 faz imunidade do corpo diminuir e chance de infecção aumentar #boato 

Boato – Imunidade do corpo diminui após pessoa tomar duas doses da vacina contra Covid-19 e chance de se infectar pelo coronavírus aumenta. 
“ reação vacinar entender facilidade pessoa infectar o dosar vacinar corona texto original inglês autoria informar tradução google translator valer o peno o razão pessoa ficar infectar tomar dose vacinar corona – o dosar administrar 21/28 dia o dosar vacinar corona – o vacinar comedir o formar anticorpo imediatamente entrar corpo – anticorpo formar corpo imunidade diminuir – tomar o dosar vacinar 21/28 dia imunidade diminuir – dia o dosar anticorpo completamente formar corpo imunidade comedir o crescer rapidamente – durante e dever imunidade chance vírus corona entrar corpo alto dever o exposição o o vírus n vulnerável pessoa infecto – o tornar arriscar sair casar durante e – tomar dose vacinar tornar vítima corona – e o imunidade corpo aumentar o o segurar – preciso cuidadoso e segurar e o dosar – certifique-se máscara – sair casar necessário ”"	Kyene Becker	https://www.boatos.org/saude/vacina-contra-covid-19-faz-imunidade-diminuir-chance-infeccao-aumentar.html	boatos.org	27/04/2021	saúde	1
